Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
3094947  39  18.54 iperf3 -s
3094947 sum  18.54 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   9.59 iperf3 -s
3094947   5   4.36 iperf3 -s
3094947   6   0.53 iperf3 -s
3094947  19   2.39 iperf3 -s
3094947  24   0.56 iperf3 -s
3094947  25   3.07 iperf3 -s
3094947  26   2.90 iperf3 -s
3094947  27   1.57 iperf3 -s
3094947  39   1.89 iperf3 -s
3094947 sum  26.86 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   1.10 iperf3 -s
3094947   5   0.55 iperf3 -s
3094947   6   3.79 iperf3 -s
3094947   7   4.67 iperf3 -s
3094947  18   0.02 iperf3 -s
3094947  19   2.09 iperf3 -s
3094947  24   3.19 iperf3 -s
3094947  25   2.37 iperf3 -s
3094947  26   3.11 iperf3 -s
3094947  27   1.04 iperf3 -s
3094947  38   0.01 iperf3 -s
3094947  39   5.22 iperf3 -s
3094947 sum  27.16 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   1.58 iperf3 -s
3094947   5   8.22 iperf3 -s
3094947   6   8.27 iperf3 -s
3094947   7   0.05 iperf3 -s
3094947  18   0.05 iperf3 -s
3094947  19   1.62 iperf3 -s
3094947  24   0.93 iperf3 -s
3094947  25   2.29 iperf3 -s
3094947  26   2.25 iperf3 -s
3094947  38   2.07 iperf3 -s
3094947 sum  27.33 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   5   0.73 iperf3 -s
3094947   7   1.36 iperf3 -s
3094947  18  11.46 iperf3 -s
3094947  19   0.02 iperf3 -s
3094947  25   2.22 iperf3 -s
3094947  26   2.87 iperf3 -s
3094947  27   0.53 iperf3 -s
3094947  38   8.02 iperf3 -s
3094947 sum  27.21 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   2.42 iperf3 -s
3094947   5   1.62 iperf3 -s
3094947   7   0.03 iperf3 -s
3094947  18   7.94 iperf3 -s
3094947  19   5.69 iperf3 -s
3094947  25   0.00 iperf3 -s
3094947  26   0.61 iperf3 -s
3094947  27   0.81 iperf3 -s
3094947  38   5.75 iperf3 -s
3094947  39   2.07 iperf3 -s
3094947 sum  26.94 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   6.72 iperf3 -s
3094947   6   2.95 iperf3 -s
3094947  18   0.23 iperf3 -s
3094947  19   7.78 iperf3 -s
3094947  26   0.00 iperf3 -s
3094947  38   8.53 iperf3 -s
3094947  39   0.55 iperf3 -s
3094947 sum  26.76 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   8.37 iperf3 -s
3094947   5   0.97 iperf3 -s
3094947   6   2.01 iperf3 -s
3094947   7   0.24 iperf3 -s
3094947  18   1.22 iperf3 -s
3094947  19   0.05 iperf3 -s
3094947  24   0.36 iperf3 -s
3094947  25   0.76 iperf3 -s
3094947  26   0.07 iperf3 -s
3094947  27   3.25 iperf3 -s
3094947  38   3.95 iperf3 -s
3094947  39   4.53 iperf3 -s
3094947 sum  25.78 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   6  10.53 iperf3 -s
3094947  18   0.09 iperf3 -s
3094947  19   1.54 iperf3 -s
3094947  24   3.60 iperf3 -s
3094947  25   7.75 iperf3 -s
3094947  39   2.12 iperf3 -s
3094947 sum  25.63 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4  12.42 iperf3 -s
3094947   5   1.64 iperf3 -s
3094947   6   0.09 iperf3 -s
3094947   7   1.90 iperf3 -s
