Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
900952  19   0.59 iperf3 -s
900952  24   0.71 iperf3 -s
900952  25  12.61 iperf3 -s
900952  39   0.01 iperf3 -s
900952 sum  13.92 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.94 iperf3 -s
900952   5   0.28 iperf3 -s
900952   6   0.44 iperf3 -s
900952   7   0.66 iperf3 -s
900952  18   1.62 iperf3 -s
900952  19   0.01 iperf3 -s
900952  24   0.16 iperf3 -s
900952  25   4.20 iperf3 -s
900952  26   9.19 iperf3 -s
900952  39   8.72 iperf3 -s
900952 sum  26.22 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.04 iperf3 -s
900952   5   4.96 iperf3 -s
900952   6   5.86 iperf3 -s
900952   7   6.22 iperf3 -s
900952  18   1.38 iperf3 -s
900952  19   0.09 iperf3 -s
900952  24   1.27 iperf3 -s
900952  25   0.78 iperf3 -s
900952  26   0.68 iperf3 -s
900952  27   0.10 iperf3 -s
900952  38   0.48 iperf3 -s
900952  39   6.90 iperf3 -s
900952 sum  28.76 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   2.41 iperf3 -s
900952   5   0.02 iperf3 -s
900952   6   2.59 iperf3 -s
900952   7   0.08 iperf3 -s
900952  18   0.00 iperf3 -s
900952  19   3.75 iperf3 -s
900952  24   1.06 iperf3 -s
900952  25   0.33 iperf3 -s
900952  26   3.87 iperf3 -s
900952  27   0.14 iperf3 -s
900952  38   2.38 iperf3 -s
900952  39  10.49 iperf3 -s
900952 sum  27.12 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.68 iperf3 -s
900952   5   0.98 iperf3 -s
900952   6   0.46 iperf3 -s
900952   7   2.58 iperf3 -s
900952  18   5.39 iperf3 -s
900952  19   1.34 iperf3 -s
900952  24   4.04 iperf3 -s
900952  25   0.11 iperf3 -s
900952  26   8.48 iperf3 -s
900952  27   1.79 iperf3 -s
900952 sum  25.85 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4  15.20 iperf3 -s
900952   5   0.29 iperf3 -s
900952   6   2.24 iperf3 -s
900952   7   3.94 iperf3 -s
900952  27   3.55 iperf3 -s
900952  38   0.08 iperf3 -s
900952  39   1.24 iperf3 -s
900952 sum  26.54 iperf3 -s
   PID CPU    PCT CMDLINE
900952   5   3.92 iperf3 -s
900952   7   3.17 iperf3 -s
900952  18   1.99 iperf3 -s
900952  19   3.61 iperf3 -s
900952  24   3.78 iperf3 -s
900952  25   4.23 iperf3 -s
900952  26   0.15 iperf3 -s
900952  27   0.32 iperf3 -s
900952  39   5.19 iperf3 -s
900952 sum  26.36 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   5.19 iperf3 -s
900952  19   1.75 iperf3 -s
900952  24   9.79 iperf3 -s
900952  26   0.22 iperf3 -s
900952  27   4.74 iperf3 -s
900952  38   3.67 iperf3 -s
900952  39   0.34 iperf3 -s
900952 sum  25.70 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.28 iperf3 -s
900952   5   0.88 iperf3 -s
900952   6   1.14 iperf3 -s
900952   7   3.41 iperf3 -s
900952  18   1.87 iperf3 -s
900952  19   9.10 iperf3 -s
900952  24   0.48 iperf3 -s
900952  25   3.72 iperf3 -s
900952  26   0.05 iperf3 -s
900952  27   0.02 iperf3 -s
900952  38   5.08 iperf3 -s
900952  39   1.25 iperf3 -s
900952 sum  27.28 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.87 iperf3 -s
900952   5   0.24 iperf3 -s
900952   6   8.33 iperf3 -s
900952   7   1.63 iperf3 -s
900952  18   0.10 iperf3 -s
